County,Unemployment rate,Labor force,Employment,Unemployment
Alameda,4.4,819300,783700,35700
Alpine,5.5,580,550,30
Amador,5.2,14460,13710,750
Butte,5.7,92600,87300,5300
Calaveras,4.7,22190,21140,1040
Colusa,15.4,10790,9120,1660
Contra Costa,4.4,546700,522600,24100
Del Norte,5.8,9040,8520,520
El Dorado,4.2,94500,90500,4000
Fresno,8.4,462500,423500,38900
Glenn,6.8,12690,11820,870
Humboldt,4.9,60100,57200,2900
Imperial,15.7,71500,60300,11200
Inyo,3.8,8420,8100,320
Kern,9.3,396800,360000,36800
Kings,9.2,58900,53500,5400
Lake,6,28400,26710,1690
Lassen,6.1,8580,8060,520
Los Angeles,4.5,4968200,4743800,224300
Madera,8.3,65100,59700,5400
Marin,3.4,131300,126800,4500
Mariposa,5.4,7340,6950,390
Mendocino,5,37320,35450,1870
Merced,10.5,120500,107800,12700
Modoc,7.1,3240,3010,230
Mono,3.6,9170,8840,330
Monterey,8,222400,204600,17800
Napa,3.8,72000,69300,2700
Nevada,4.2,48900,46860,2050
Orange,3.7,1580400,1522600,57800
Placer,3.9,196100,188400,7700
Plumas,9.1,7270,6610,660
Riverside,4.9,1151100,1095200,55900
Sacramento,4.5,735300,702000,33300
San Benito,6.7,32200,30000,2200
San Bernardino,4.8,1008100,960100,47900
San Diego,4.1,1588000,1522700,65200
San Francisco,3.4,552700,533700,19000
San Joaquin,6.6,346700,323800,22900
San Luis Obispo,3.5,135700,130900,4800
San Mateo,3.3,437500,423200,14300
Santa Barbara,4.2,220000,210700,9300
Santa Clara,3.8,1025800,986600,39200
Santa Cruz,6.7,132400,123500,8900
Shasta,5.5,74200,70100,4100
Sierra,6.5,1310,1230,90
Siskiyou,6.7,16270,15180,1090
Solano,4.9,203400,193400,10000
Sonoma,3.8,248700,239100,9600
Stanislaus,7,247700,230300,17400
Sutter,8.8,47700,43500,4200
Tehama,6.3,25840,24210,1630
Trinity,6.5,4520,4230,290
Tulare,10.8,214700,191500,23200
Tuolumne,5.5,19760,18690,1080
Ventura,4.2,413400,395900,17500
Yolo,5.1,110600,105000,5600
Yuba,7.3,32600,30200,2400
